Lon,Lat,TOCflux
-179,-90,0
-179,-88,0
-179,-86,0
-179,-84,0
-179,-82,0
-179,-80,0
-179,-78,77.45046494
-179,-76,92.18245155
-179,-74,85.55060274
-179,-72,77.76798794
-179,-70,74.35895126
-179,-68,100.6279932
-179,-66,110.6921406
-179,-64,101.649426
-179,-62,96.65654501
-179,-60,99.64493856
-179,-58,100.3637148
-179,-56,107.0026995
-179,-54,121.2336323
-179,-52,138.8751983
-179,-50,155.2100628
-179,-48,176.9651549
-179,-46,187.4129819
-179,-44,199.9965041
-179,-42,206.3300739
-179,-40,167.2733624
-179,-38,154.8208186
-179,-36,128.4196783
-179,-34,120.1012513
-179,-32,119.778672
-179,-30,94.57973868
-179,-28,93.68868984
-179,-26,89.41932717
-179,-24,42.30030718
-179,-22,54.96695334
-179,-20,72.541323
-179,-18,83.29351205
-179,-16,91.66785418
-179,-14,125.812995
-179,-12,112.9536508
-179,-10,105.0839307
-179,-8,103.4828222
-179,-6,106.9381361
-179,-4,114.8037484
-179,-2,139.0332026
-179,0,139.3069155
-179,1,117.039039
-179,3,123.3206591
-179,5,142.6008798
-179,7,136.4304992
-179,9,122.6885908
-179,11,117.7389664
-179,13,113.1040208
-179,15,123.5568676
-179,17,122.2603011
-179,19,95.65110368
-179,21,56.4721048
-179,23,39.59307176
-179,25,73.63737251
-179,27,54.04894337
-179,29,58.9271937
-179,31,116.9231258
-179,33,137.4270958
-179,35,151.2922226
-179,37,188.9366115
-179,39,181.8111243
-179,41,173.2130954
-179,43,163.3487663
-179,45,154.3730154
-179,47,148.4226242
-179,49,141.9413282
-179,51,132.1659412
-179,53,151.2406283
-179,55,181.35258
-179,57,194.9858127
-179,59,210.4065203
-179,61,176.5787371
-179,63,188.3588704
-179,65,140.7704931
-179,67,0
-179,69,0
-179,71,0
-179,73,49.44654497
-179,75,29.02661399
-179,77,26.61759841
-179,79,16.25530856
-179,81,15.93622922
-179,83,5.689020357
-179,85,6.513725374
-179,87,7.203315279
-179,89,0
-177,-90,0
-177,-88,0
-177,-86,0
-177,-84,0
-177,-82,0
-177,-80,0
-177,-78,76.92234037
-177,-76,83.19611952
-177,-74,82.73330242
-177,-72,75.28840353
-177,-70,76.07291918
-177,-68,95.37392211
-177,-66,105.3583847
-177,-64,96.36531229
-177,-62,92.70117364
-177,-60,98.56938814
-177,-58,104.2962408
-177,-56,104.7958483
-177,-54,120.2994328
-177,-52,137.7259286
-177,-50,152.9386625
-177,-48,152.117005
-177,-46,158.4327798
-177,-44,196.0450786
-177,-42,177.4050961
-177,-40,151.0130759
-177,-38,136.6316401
-177,-36,116.1954872
-177,-34,111.0643527
-177,-32,125.1683694
-177,-30,100.1099951
-177,-28,74.13056212
-177,-26,85.09127138
-177,-24,43.09088554
-177,-22,57.9403088
-177,-20,71.89550124
-177,-18,79.82847013
-177,-16,91.04059872
-177,-14,122.5008599
-177,-12,114.2539167
-177,-10,113.3054847
-177,-8,105.3213101
-177,-6,105.4458932
-177,-4,111.9232556
-177,-2,132.0251437
-177,0,134.5048956
-177,1,102.1174712
-177,3,119.5047385
-177,5,133.216632
-177,7,129.7547265
-177,9,116.3334499
-177,11,112.2570119
-177,13,111.5141393
-177,15,122.6081285
-177,17,120.7742483
-177,19,91.7167332
-177,21,61.34296418
-177,23,40.64258743
-177,25,69.10649195
-177,27,45.84018839
-177,29,47.06255395
-177,31,85.87292097
-177,33,146.6619544
-177,35,168.8362251
-177,37,197.613877
-177,39,176.5282249
-177,41,165.2956289
-177,43,161.9152024
-177,45,154.7569854
-177,47,150.2335585
-177,49,133.858498
-177,51,125.1033545
-177,53,134.9605255
-177,55,176.9660893
-177,57,188.0381374
-177,59,195.4222623
-177,61,153.1274493
-177,63,123.2992965
-177,65,123.5449968
-177,67,0
-177,69,89.30124331
-177,71,66.66235231
-177,73,31.29662104
-177,75,33.22491602
-177,77,29.59455837
-177,79,14.70195925
-177,81,16.05794263
-177,83,5.621009735
-177,85,6.450577569
-177,87,7.183801781
-177,89,0
-175,-90,0
-175,-88,0
-175,-86,0
-175,-84,0
-175,-82,0
-175,-80,0
-175,-78,82.29821554
-175,-76,82.79420228
-175,-74,75.62262723
-175,-72,73.09379411
-175,-70,71.1586669
-175,-68,92.02633543
-175,-66,104.7290511
-175,-64,97.76331616
-175,-62,90.07114875
-175,-60,98.25765438
-175,-58,104.4713035
-175,-56,105.2919642
-175,-54,119.8005368
-175,-52,137.7022493
-175,-50,154.5025246
-175,-48,154.7765226
-175,-46,163.7259008
-175,-44,174.0206142
-175,-42,176.2224972
-175,-40,150.1445663
-175,-38,123.204832
-175,-36,109.0535517
-175,-34,106.6694979
-175,-32,121.7606658
-175,-30,98.55035101
-175,-28,39.15287789
-175,-26,55.89189259
-175,-24,43.60277977
-175,-22,56.47346109
-175,-20,67.71159218
-175,-18,76.024559
-175,-16,88.30122506
-175,-14,104.5043556
-175,-12,119.3525413
-175,-10,118.2026103
-175,-8,106.9165424
-175,-6,100.3656278
-175,-4,109.3033941
-175,-2,129.7972937
-175,0,132.9962681
-175,1,99.46942015
-175,3,107.7858227
-175,5,123.8077444
-175,7,119.7765851
-175,9,112.0854873
-175,11,107.5907869
-175,13,108.0998671
-175,15,120.411516
-175,17,121.1385543
-175,19,86.67716491
-175,21,60.0572155
-175,23,44.81685198
-175,25,48.29444934
-175,27,46.47587482
-175,29,56.18481527
-175,31,78.46383805
-175,33,139.4977261
-175,35,182.0677546
-175,37,202.5413376
-175,39,174.6777798
-175,41,162.2530185
-175,43,159.1166313
-175,45,151.9376506
-175,47,149.2437109
-175,49,140.4737729
-175,51,123.0760963
-175,53,135.2636708
-175,55,194.0197131
-175,57,203.5721177
-175,59,178.6560422
-175,61,133.5399217
