No,Cruise,Date,Time,Lon,Lat,Depth,Temperature,Salinity,Chla,DO,Si,NO3,PO4,NCP,GPP,CR,BA_t0,BA_t1,BP_t0,BP_t1,BR_total_filtered,BA_t0_filtered,BA_t1_filtered,BP_t0_filtered,BP_t1_filtered
30,2019-Spring,2019/4/13,18:39,120.3,26.42,3,16.036,30.679,1.28,259.18,19.143,9.95,0.497,4.66,7.584,2.924,375400,428800,0.465,0.896,0.358,344200,295600,0.25,3.323
31,2019-Spring,2019/4/14,04:38,120.57,25.61,3,22.48,23.516,0.402,216.551,3.036,0.393,0.136,1.191,2.112,0.92,211700,279800,0.076,0.365,0.466,183000,274600,0.268,1.686
32,2019-Spring,2019/4/14,09:29,120.21,25.87,3,17.403,30.721,0.837,252.464,11.679,6.036,0.268,2.559,4.953,2.394,482500,461600,0.224,1.798,0.372,344600,414900,0.209,4.428
33,2019-Summer,2019/7/22,12:29,120.44,25.71,3,27.537,33.823,0.832,194.867,4.286,0.229,,1.893,4.863,2.969,2167300,2854000,0.387,1.782,,1636100,,0.095,
34,2019-Summer,2019/7/24,14:15,120.15,25.18,3,27.46,33.776,1.47,198.392,4.679,4.064,,4.371,8.646,4.275,1568000,2339200,0.808,2.037,1.019,1452800,,0.952,
35,2019-Summer,2019/7/26,08:04,117.95,21.67,3,30.504,31.229,1.284,187.747,3.143,1.121,0.248,2.933,5.82,2.887,2816600,3011200,2.919,5.676,0.085,2345400,3313600,2.047,5.939
36,2019-Summer,2019/7/27,14:26,117.81,22.72,3,29.597,33.269,0.642,186.658,3.5,0.05,,-2.324,2.534,4.859,3563500,1935000,1.428,4.73,1.394,3551900,5713700,3.659,9.548
37,2019-Summer,2019/7/28,09:36,118.62,22.65,3,29.65,32.969,0.578,188.346,1.464,,,-0.887,5.124,6.01,2944300,3126100,1.766,2.926,0.627,3856900,4812800,4.537,8.721
38,2019-Summer,2019/7/28,04:45,118.34,24.27,3,,,4.17,199.167,7.321,0.786,0.168,17.427,29.125,11.698,3712100,3050700,4.794,10.636,4.372,3267000,9997800,2.614,13.027
39,2019-Summer,2019/8/19,00:20,117.42,23.44,3,25.022,34.15,2.69,168.247,7.357,1.164,0.177,11.644,16.336,4.692,4478000,4011400,0.72,1.383,6.818,,7025400,,6.406
40,2019-Summer,2019/8/19,12:07,117.87,22.86,3,28.022,33.829,0.749,188.277,3.464,0.15,0.203,3.178,5.309,2.131,,,0.435,0.527,0.389,,,0.226,1.812
41,2019-Summer,2019/8/19,17:35,116.97,22.94,3,27.122,33.963,0.295,195.211,5.643,0.364,0.29,0.043,2.556,2.513,2827000,2353900,0.519,0.321,0.114,2493700,3598300,0.225,1.413
42,2021-Summer,2021/7/28,08:57,112,18,5,30.1,33.977,0.112,196.156,1.744,,,,,1.974,528800,725600,0.175,0.425,1.566,701300,589100,0.044,1.136
43,2021-Summer,2021/7/30,15:15,116,18,5,29.851,33.789,0.152,195.197,,,,,,1.134,800700,882800,0.222,0.883,0.476,650800,1018600,0.145,2.587
44,2021-Summer,2021/8/3,14:20,113,16,5,29.216,33.977,0.192,198.647,2.138,,,,,1.529,561000,1042200,0.291,0.195,0.638,625400,1121900,0.13,0.757
45,2021-Summer,2021/8/7,16:31,112,14,5,29.356,33.909,0.166,198.547,2.034,,,,,1.04,582500,2532500,0.389,0.277,0.607,492800,1428000,0.14,0.81
46,2021-Summer,2021/8/8,12:12,112,12,5,27.377,33.635,0.208,207.006,0.609,,,,,2.21,1232500,829600,1.317,1.392,2.91,1464100,1294600,0.31,2.482
47,2021-Summer,2021/8/9,01:07,112,11,5,28.903,32.906,0.264,201.465,1.405,,,,,2.543,1224800,1232500,0.608,0.667,0.804,837500,1311800,0.464,0.775
48,2021-Summer,2021/8/12,17:12,118,12,5,29.441,33.848,0.212,199.205,2.29,,,,,0.553,564600,1298700,0.208,0.7,1.104,583500,824500,0.172,0.89
49,2021-Summer,2021/8/13,10:10,118,14,5,29.291,33.471,0.275,201.497,2.247,,,,,1.17,1241000,1654700,0.16,0.798,0.692,896900,1507800,0.221,1.084
50,2021-Summer,2021/8/14,06:37,116,14,5,29.872,33.842,0.127,198.77,2.419,,,,,0.818,935000,962100,0.205,0.238,0.857,829800,1070400,0.172,0.568
51,2021-Summer,2021/8/17,12:06,115,14,5,29.39,33.809,0.289,199.324,1.749,,,,,2.522,1083900,1017500,0.214,0.4,1.266,969600,1330800,0.128,1.592
52,2021-Summer,2021/8/19,13:05,115,16,5,29.707,33.841,0.204,197.371,1.917,,,,,0.84,775200,1086800,0.196,0.79,1.802,867100,,0.186,
53,2021-Summer,2021/8/20,17:28,117,16,5,30.129,33.888,0.183,198.6,1.909,,,,,0.985,584200,1248000,0.265,0.423,0.233,737200,832500,0.149,0.47
54,2021-Summer,2021/8/21,17:04,117,18,5,30.379,33.781,0.12,197.174,1.657,,,,,0.79,858700,924200,0.168,0.217,0.848,773800,577900,0.17,0.616
55,2021-Summer,2021/8/22,11:44,118,18,5,29.835,33.761,0.199,197.94,1.802,,,,,0.843,845100,1012800,0.199,0.494,1.084,638400,794300,0.168,1.251
56,2021-Summer,2021/8/23,04:47,119,18,5,30.212,33.257,0.174,198.321,2.126,,,,,1.684,743300,951700,0.17,0.415,5.389,601500,722700,0.166,1.064
57,2021-Summer,2021/8/24,15:16,119,20,5,30.184,33.903,0.196,197.346,1.683,,,,,0.904,815100,1114700,0.228,0.275,0.396,795500,1083700,0.17,0.728
58,2023-spring,2023/4/6,12:15,112.59,21.26,3,24.611,33.914,0.197,213.235,1.104,,,,,3.832,628000,754300,0.221,0.782,1.232,617000,991700,0.138,1.558
59,2023-spring,2023/4/9,12:15,114.65,22.54,3,21.375,33.944,0.041,216.202,7.069,0.803,0.214,,,2.578,552700,608800,0.167,0.855,0.356,143400,435400,0.04,1.995
60,2023-spring,2023/4/13,08:10,119.94,25.82,3,15.856,30.426,0.752,249.533,20.097,13.406,0.483,,,2.374,706600,854800,0.289,1.158,1.542,471900,959200,0.069,2.616
61,2023-spring,2023/4/13,17:07,120.58,26.8,3,15.1,30.32,2.657,262.488,15.284,19.532,0.735,,,3.867,927600,1280500,0.226,0.715,1.488,566800,1547600,0.096,3.131
62,2023-spring,2023/4/14,00:28,121.43,27.64,3,14.062,30.677,2.418,261.776,14.987,10.623,0.378,,,2.083,1262000,1619200,0.407,0.833,0.578,679800,1154000,0.145,1.15
63,2023-spring,2023/4/14,12:30,122.41,29.2,3,14.88,30.764,1.048,253.189,15.635,12.361,0.58,,,2.575,1156800,1144000,0.499,0.615,0.413,646200,1170000,0.217,1.742
64,2023-spring,2023/4/15,08:08,123.15,29.74,3,14.693,32.275,2.672,275.238,6.417,2.652,,,,4.04,1431300,2806700,1.125,1.662,1.745,1292700,3773300,0.891,1.562
65,2023-spring,2023/4/16,08:00,124.14,31.78,3,11.877,32.411,0.861,271.494,17.082,8.429,0.572,,,1.296,510600,521000,0.15,0.224,0.214,164000,218000,0.055,0.12
66,2023-spring,2023/4/28,18:35,124,29.83,3,16.125,32.785,0.587,351.621,5.494,1.514,0.124,,,5.801,1244700,2212000,2.897,3.381,3.995,1006600,4499600,0.973,8.506
